"id","type","area","floors","rooms","bathrooms","price","condition","city","district"
3298,"shop",188,3,3,3,11604484,"semi finished","Beni Suef","Fashn"
3299,"duplex",256,3,2,2,10176263,"luxury finished","Qalyubia","Khanka"
3300,"town house",251,1,2,3,8969824,"fully finished","Qena","Farshout"
3301,"studio",275,1,3,2,12825641,"not finished","Dakahlia","Bani Ubaid"
3302,"office",225,3,2,2,12754166,"not finished","Qena","Alwaqf"
3303,"shop",190,1,2,1,10638401,"semi finished","Luxor","Armant"
3304,"office",91,2,3,3,5087822,"semi finished","North Sinai","Arish"
3305,"shop",252,2,1,3,3136970,"luxury finished","Beni Suef","Al Wasta"
3306,"duplex",156,3,3,3,2079038,"not finished","Menofia","Quesna"
3307,"studio",150,1,2,3,8043848,"not finished","New Valley","El Kharga"
3308,"office",177,1,3,3,6678298,"fully finished","North Sinai","Nakhl"
3309,"villa",217,1,1,2,12220863,"semi finished","Giza","Abu Rawash"
3310,"duplex",86,2,2,2,11589900,"fully finished","New Valley","Dakhla"
3311,"office",224,2,1,1,9306598,"semi finished","Matrouh","Alamein"
3312,"studio",288,2,1,1,6500044,"luxury finished","North Sinai","Nakhl"
3313,"studio",132,3,2,2,7904195,"semi finished","Qalyubia","Tukh"
3314,"villa",250,3,2,1,10054098,"not finished","Sohag","Sohag"
3315,"studio",85,3,3,2,2956333,"luxury finished","Menofia","Al Shohada"
3316,"office",191,1,3,3,5880397,"luxury finished","Alexandria","Moharam Bek"
3317,"studio",173,3,1,3,6711929,"luxury finished","Cairo","Hadayek El-Kobba"
3318,"studio",109,2,2,3,12465995,"luxury finished","Qena","Abu Tesht"
3319,"villa",288,3,3,3,12105534,"not finished","Suez","Alganayen"
3320,"duplex",234,1,2,1,10337565,"luxury finished","Sohag","Jahina Al Gharbia"
3321,"town house",271,2,2,2,9969060,"not finished","Sohag","Sohag"
3322,"studio",115,3,2,3,11932486,"not finished","Fayoum","Fayoum"
3323,"villa",233,1,3,2,6766565,"fully finished","Suez","Ataqah"
3324,"office",196,1,3,3,10859559,"not finished","South Sinai","Ras Sidr"
3325,"duplex",231,2,3,3,12678128,"fully finished","Qalyubia","Shibin Al Qanater"
3326,"villa",186,1,1,1,6090705,"not finished","Suez","Suez"
3327,"office",197,1,1,3,9871384,"luxury finished","Luxor","Al Tud"
3328,"shop",267,3,2,1,7505043,"luxury finished","Dakahlia","Nabroh"
3329,"apartment",282,2,3,2,13292466,"not finished","Assiut","El Badari"
3330,"villa",254,3,2,2,13626894,"semi finished","Giza","Haram"
3331,"studio",223,3,3,3,9691810,"fully finished","Matrouh","Alamein"
3332,"shop",92,2,1,1,2125996,"semi finished","Beni Suef","Ehnasia"
3333,"villa",138,2,3,1,7661657,"semi finished","Menofia","Sadat City"
3334,"shop",167,2,2,2,10566679,"fully finished","Sharkia","Hehia"
3335,"duplex",179,3,1,1,3936090,"not finished","Damietta","alruwda"
3336,"town house",216,3,3,1,14191202,"semi finished","Dakahlia","Sherbin"
5196,"shop",147,3,3,3,4942580,"not finished","Qena","Naqada"
3337,"shop",190,2,1,1,7238358,"not finished","Qalyubia","Shibin Al Qanater"
3338,"office",193,1,1,3,12249883,"fully finished","Minya","Minya"
3339,"town house",105,2,1,3,5605362,"not finished","Qalyubia","Khosous"
3340,"office",272,1,2,3,6479052,"luxury finished","Minya","Bani Mazar"
3341,"office",219,3,2,2,13741251,"not finished","Beni Suef","Alabbaseri"
3342,"shop",156,1,3,3,10092734,"fully finished","Damietta","Azbet Al Burg"
3343,"apartment",210,1,1,3,9180262,"luxury finished","Assiut","Manfalut"
3344,"villa",247,3,3,1,10321940,"luxury finished","Matrouh","Marina"
3345,"shop",96,2,3,3,10675582,"fully finished","Fayoum","Yusuf El Sediaq"
3346,"office",164,1,2,1,9638224,"fully finished","Sohag","Akhmim El Gedida"
3347,"apartment",290,2,1,2,1295944,"fully finished","Menofia","Sadat City"
3348,"apartment",135,3,1,3,9893093,"fully finished","Port Said","Aldawahi"
3349,"villa",271,3,2,3,13681023,"luxury finished","Qalyubia","Mostorod"
3350,"apartment",140,2,1,1,4457185,"semi finished","South Sinai","Taba"
3351,"office",123,3,3,2,12095068,"semi finished","Qena","Qaft"
3352,"villa",159,2,3,1,10178555,"luxury finished","Fayoum","Algamaa"
3353,"studio",85,3,3,3,4508142,"fully finished","Red Sea","Hurghada"
3354,"office",289,3,1,1,12794193,"semi finished","Sohag","Dar AISalaam"
3355,"duplex",237,2,3,2,4541814,"fully finished","Damietta","Zarqa"
3356,"office",267,1,3,2,4469619,"fully finished","Sharkia","Mashtoul El Souq"
3357,"apartment",190,2,2,1,5073866,"semi finished","Sohag","Dar AISalaam"
3358,"shop",134,3,1,1,3066801,"luxury finished","Ismailia","Abu Sawir"
3359,"shop",139,2,2,2,14747281,"fully finished","Gharbia","Basion"
3360,"office",84,1,1,2,7161354,"fully finished","Port Said","Zohour"
3361,"town house",218,2,1,3,7709348,"semi finished","Matrouh","North Coast"
3362,"shop",212,1,2,1,10178747,"luxury finished","Sohag","Tahta"
3363,"town house",212,2,1,1,2642135,"not finished","Menofia","Al Bagor"
3364,"villa",235,2,2,3,14913694,"fully finished","Qena","Alwaqf"
3365,"shop",111,2,3,3,11354156,"luxury finished","Beheira","New Nubaria"
3366,"studio",160,1,3,2,14420643,"luxury finished","Beni Suef","Naser"
3367,"studio",285,1,2,2,7887989,"luxury finished","Minya","Bani Mazar"
3368,"office",196,3,2,1,8949342,"luxury finished","Assiut","Qusiya"
3369,"office",229,1,2,2,7092088,"semi finished","Port Said","Port Fouad"
3370,"town house",81,2,1,1,14211926,"not finished","Damietta","alsaru"
3371,"office",174,3,2,2,8763561,"not finished","Assiut","Dayrout"
3372,"studio",248,2,2,1,8662216,"semi finished","Sohag","Akhmim El Gedida"
3373,"duplex",148,3,1,1,8331663,"fully finished","Aswan","Marsa Alam"
3374,"office",290,3,3,2,1140462,"not finished","Matrouh","El Hamam"
3375,"duplex",282,2,1,3,9506975,"not finished","Gharbia","Kafr El Zayat"
3376,"apartment",210,2,1,3,13305383,"fully finished","Gharbia","Tanta"
3377,"town house",112,1,3,1,6994383,"fully finished","Beheira","Badr"
3378,"villa",118,3,2,3,8785378,"luxury finished","Cairo","Mokattam"
3379,"apartment",292,3,2,2,10446515,"not finished","Gharbia","Tanta"
3380,"villa",171,2,2,3,7867272,"fully finished","Cairo","Badr City"
3381,"town house",149,3,2,1,11552752,"not finished","Dakahlia","Nabroh"
3382,"duplex",139,3,3,1,6496818,"fully finished","North Sinai","Nakhl"
3383,"town house",131,1,2,3,4941332,"semi finished","Beheira","Delengat"
3384,"villa",193,1,2,2,10568569,"not finished","Cairo","Obour City"
3385,"villa",96,1,2,2,6549440,"not finished","Qalyubia","Qalyub"
3386,"villa",175,3,2,3,4860564,"luxury finished","Damietta","Faraskour"
3996,"villa",125,3,3,2,5006448,"luxury finished","Matrouh","Marina"
3387,"office",173,1,2,1,3661760,"not finished","Damietta","alruwda"
3388,"shop",141,2,3,2,13366651,"not finished","North Sinai","Rafah"
3389,"shop",266,2,3,1,4139665,"fully finished","New Valley","Balat"
3390,"villa",90,1,1,1,3169269,"fully finished","North Sinai","Rafah"
3391,"office",293,3,1,3,12977786,"fully finished","South Sinai","Abu Redis"
3392,"town house",152,3,3,3,12329211,"semi finished","Kafr El Sheikh","Sidi Ghazi"
3393,"town house",283,3,2,1,11048053,"luxury finished","Sharkia","Minya Al Qamh"
3394,"apartment",149,1,1,1,5368409,"fully finished","Alexandria","Sidi Bishr"
3395,"office",229,2,2,1,4216643,"fully finished","North Sinai","Sheikh Zowaid"
3396,"apartment",277,2,1,1,4474362,"not finished","Port Said","Alarab"
3397,"villa",260,1,2,2,10600810,"fully finished","Giza","Moneeb"
3398,"apartment",174,3,3,1,8876069,"luxury finished","Ismailia","Kasasien El Gedida"
3399,"studio",171,3,1,2,11520547,"not finished","Menofia","Berkat El Saba"
3400,"villa",142,2,3,2,1255299,"fully finished","Suez","Alganayen"
3401,"apartment",127,3,3,2,4507483,"luxury finished","New Valley","El Kharga"
3402,"shop",134,2,2,1,6450277,"semi finished","Sohag","Alkawthar"
3403,"office",216,3,2,2,2820149,"fully finished","Alexandria","Sidi Bishr"
3404,"town house",92,3,2,1,4253798,"fully finished","Luxor","Al Tud"
3405,"shop",258,1,1,1,1344870,"semi finished","Alexandria","Stanley"
3406,"duplex",182,2,2,2,4226267,"fully finished","Suez","Ain Sokhna"
3407,"town house",148,2,2,1,8301283,"fully finished","South Sinai","Al Toor"
3408,"apartment",239,2,2,1,7988379,"fully finished","Beheira","Kafr El Dawar"
3409,"apartment",178,2,3,3,8102336,"fully finished","Assiut","Manfalut"
3410,"villa",106,3,1,3,11146281,"fully finished","Alexandria","Sidi Kerir"
3411,"villa",218,2,1,2,2994742,"fully finished","South Sinai","Abu Zenaima"
3412,"duplex",197,1,1,1,8537244,"luxury finished","Minya","Deir Mawas"
3413,"office",299,2,2,1,13301252,"fully finished","North Sinai","Arish"
3414,"villa",252,1,1,1,7999955,"fully finished","Aswan","Kom Ombo"
3415,"studio",264,1,2,3,14694495,"semi finished","Dakahlia","Al Manzala"
3416,"duplex",266,2,2,2,6976948,"semi finished","Sharkia","Abu Kabir"
3417,"town house",250,1,1,2,11271991,"semi finished","Cairo","Mansheya Nasir"
3418,"villa",119,3,1,2,9339338,"luxury finished","Beheira","Alnoubareya"
3419,"duplex",102,3,1,2,9124164,"fully finished","Dakahlia","El Kurdi"
3420,"studio",156,2,1,1,13683699,"not finished","Assiut","Dayrout"
3421,"villa",242,2,2,3,8748856,"fully finished","Alexandria","Smouha"
3422,"duplex",166,2,3,3,5159235,"not finished","Menofia","Al Bagor"
3423,"studio",209,3,2,1,4859930,"semi finished","Red Sea","Marsa Alam"
3424,"office",172,1,1,2,6547291,"not finished","Port Said","Aldawahi"
3425,"shop",190,3,1,2,7660036,"fully finished","Aswan","Al Sibaeia"
3426,"town house",184,1,2,1,11686200,"luxury finished","North Sinai","Sheikh Zowaid"
3427,"villa",97,3,3,2,2476724,"luxury finished","New Valley","Mout"
3428,"studio",202,3,3,2,12158035,"semi finished","South Sinai","Abu Zenaima"
3429,"studio",215,2,1,1,14208162,"fully finished","Kafr El Sheikh","Masief Baltim"
3430,"studio",86,3,1,3,12204390,"luxury finished","Dakahlia","Menia El Nasr"
3431,"duplex",246,1,1,2,12196094,"fully finished","Suez","Alganayen"
3432,"shop",176,2,2,2,14046649,"fully finished","Assiut","El Badari"
3433,"shop",248,2,2,1,1323915,"luxury finished","South Sinai","Abu Redis"
3434,"duplex",114,3,2,2,4036576,"fully finished","Qena","New Qena"
3435,"shop",210,1,3,1,7570095,"not finished","Giza","Al Ayat"
3436,"duplex",220,1,2,3,4930788,"semi finished","Port Said","PorSaid"
3437,"town house",221,1,1,3,14479485,"not finished","Matrouh","Marsa Matrouh"
3438,"duplex",231,1,3,1,13291862,"not finished","Damietta","alruwda"
3439,"villa",158,3,1,2,12338794,"semi finished","Qena","Quos"
3440,"office",221,1,1,2,10930581,"not finished","Sharkia","Zagazig"
3441,"apartment",227,3,2,2,9018261,"luxury finished","Sohag","Jahina Al Gharbia"
3442,"office",152,3,2,3,8238845,"luxury finished","South Sinai","Abu Zenaima"
3443,"duplex",197,3,2,2,3826666,"not finished","Qena","Nag Hammadi"
3444,"villa",86,3,3,3,1985255,"fully finished","North Sinai","Sheikh Zowaid"
3445,"villa",118,3,1,1,10127890,"semi finished","Beheira","Delengat"
3446,"town house",139,2,3,3,5259348,"semi finished","North Sinai","Al Hasana"
3447,"office",87,1,2,1,2676686,"luxury finished","Fayoum","Hadqa"
3448,"town house",136,3,3,2,5469328,"fully finished","South Sinai","Al Toor"
3449,"apartment",90,1,2,1,5558514,"luxury finished","Fayoum","Tamiya"
3450,"studio",187,3,1,1,3991129,"luxury finished","Dakahlia","Sinbillawin"
3451,"studio",100,3,2,2,4507914,"semi finished","Qena","New Qena"
3452,"town house",176,3,1,1,14697298,"semi finished","Qena","Quos"
3453,"duplex",233,1,1,1,9581169,"semi finished","Matrouh","Sidi Brani"
3454,"studio",96,2,1,2,5046368,"luxury finished","Beheira","Abu al-Matamir"
3455,"studio",151,1,1,1,8914955,"luxury finished","Gharbia","El Santa"
3456,"shop",111,2,2,1,11407310,"semi finished","Assiut","El Badari"
3457,"office",98,2,3,1,7451090,"not finished","Sohag","Gerga"
3458,"duplex",194,1,2,2,2963112,"semi finished","South Sinai","Taba"
3459,"town house",236,2,2,1,14506802,"fully finished","Port Said","Almanakh"
3460,"duplex",194,2,3,2,6847422,"fully finished","Ismailia","Sheikh Zayed"
3461,"villa",214,1,3,1,1872068,"fully finished","Sohag","Saqilatuh"
3462,"office",196,3,2,1,10984984,"not finished","Aswan","Kom Ombo"
3463,"studio",99,2,1,2,12809740,"semi finished","Sharkia","san alhajar alqablia"
3464,"villa",93,2,3,2,10634607,"not finished","Dakahlia","Meet Salsil"
3465,"duplex",243,1,2,2,5727249,"luxury finished","Sohag","Alkawthar"
3466,"town house",291,2,1,3,10886989,"luxury finished","Port Said","Aldawahi"
3467,"apartment",216,2,2,3,4506430,"not finished","Qena","Qena"
3468,"villa",274,2,3,2,8242909,"not finished","Cairo","Matareya"
3469,"shop",265,3,3,3,6571913,"not finished","South Sinai","Ras Sidr"
3470,"duplex",294,3,2,3,3455811,"luxury finished","New Valley","Paris"
3471,"shop",102,2,3,1,8984872,"luxury finished","Beni Suef","Al Wasta"
3472,"apartment",281,2,2,2,9929941,"not finished","Fayoum","Etsa"
3473,"shop",162,3,2,2,9124757,"not finished","Sharkia","Al Ashr Men Ramadan"
3474,"office",200,2,3,3,14734256,"not finished","Qalyubia","Obour"
3475,"studio",97,1,1,3,1875771,"not finished","Alexandria","Fleming"
3476,"villa",179,2,1,1,13841266,"not finished","New Valley","Farafra"
3477,"apartment",147,1,1,2,11626608,"semi finished","South Sinai","Ras Sidr"
3478,"villa",139,1,1,3,7462788,"semi finished","South Sinai","Sharm El-Shaikh"
3479,"office",205,3,3,1,13794803,"semi finished","Beheira","Edco"
3480,"office",242,3,2,1,5569884,"semi finished","Alexandria","Alattarin"
3481,"studio",206,1,3,1,8914203,"not finished","Menofia","Menouf"
3482,"studio",115,1,3,1,7560653,"luxury finished","Minya","Magagha"
3483,"office",281,2,2,3,7221785,"not finished","Qena","Nag Hammadi"
3484,"duplex",92,1,1,2,10515379,"semi finished","Gharbia","Samannoud"
3485,"villa",205,3,3,1,12325671,"fully finished","Dakahlia","Mitt Ghamr"
3486,"apartment",199,1,3,3,13633699,"luxury finished","Beni Suef","Naser"
3997,"office",278,1,1,1,3520331,"fully finished","Sohag","Albalina"
3487,"duplex",112,1,2,1,3087251,"luxury finished","Qena","Naqada"
3488,"apartment",85,3,2,3,12925663,"not finished","Suez","Suez"
3489,"villa",131,1,3,3,13785234,"fully finished","Fayoum","Sayala"
3490,"town house",113,2,1,3,3824620,"semi finished","Beheira","Rahmaniyah"
3491,"town house",96,2,2,2,11616291,"fully finished","Assiut","El Badari"
3492,"shop",149,2,2,2,3256671,"semi finished","Qalyubia","Al Qanater Charity"
3493,"villa",186,2,1,3,13308302,"fully finished","Kafr El Sheikh","Fooh"
3494,"shop",147,3,2,3,5484781,"luxury finished","Cairo","New Cairo"
3495,"studio",111,1,2,3,3450079,"semi finished","North Sinai","Sheikh Zowaid"
3496,"apartment",92,2,1,2,11508476,"semi finished","North Sinai","Nakhl"
3497,"duplex",107,2,3,1,1646439,"fully finished","Menofia","Berkat El Saba"
3498,"villa",261,1,3,1,13764434,"not finished","North Sinai","Bir al-Abed"
3499,"studio",260,2,1,3,6949680,"fully finished","Minya","Madinat El Fekria"
3500,"villa",270,2,3,3,5398629,"semi finished","Red Sea","Hurghada"
3501,"apartment",289,3,1,1,12892761,"not finished","Sohag","El Maragha"
3502,"studio",118,3,3,3,7265640,"semi finished","North Sinai","Nakhl"
3503,"shop",249,1,2,2,11090105,"not finished","Aswan","Al Sibaeia"
3504,"office",271,1,3,2,3672290,"not finished","Qena","New Qena"
3505,"town house",241,2,3,2,1057454,"luxury finished","Kafr El Sheikh","Burg Al Burullus"
3506,"villa",150,1,1,2,13503430,"luxury finished","Cairo","Matareya"
3507,"office",244,2,1,2,3222613,"not finished","Damietta","Azbet Al Burg"
3508,"shop",277,2,2,3,8298861,"not finished","Cairo","Tura"
3509,"duplex",209,2,3,2,8287421,"not finished","Cairo","Bab al-Shereia"
3510,"villa",122,2,2,2,3454967,"luxury finished","Fayoum","Sayala"
3511,"office",187,3,1,2,3358550,"semi finished","Cairo","Ezbet el Nakhl"
3512,"studio",209,1,3,3,1865965,"not finished","Beheira","Delengat"
3513,"apartment",246,1,1,3,14571152,"fully finished","Dakahlia","Talkha"
3514,"studio",148,3,3,3,14461647,"semi finished","Sohag","Alkawthar"
3515,"duplex",256,1,2,1,14013021,"luxury finished","Luxor","Armant"
3516,"duplex",164,3,2,1,8360680,"fully finished","Beni Suef","Beni Suef El Gedida"
3517,"duplex",163,3,3,3,1117228,"fully finished","Beheira","Damanhour"
3518,"duplex",213,1,1,1,3817404,"semi finished","Qalyubia","Shubra Al Khaimah"
3519,"apartment",298,2,3,2,8702052,"not finished","Cairo","Waily"
3520,"apartment",201,2,2,3,10860128,"fully finished","South Sinai","Saint Catherine"
3521,"apartment",112,2,2,3,5439263,"fully finished","Gharbia","El Santa"
3522,"town house",113,3,2,1,1165429,"fully finished","Luxor","Al Tud"
3523,"shop",81,2,3,3,13965883,"semi finished","Assiut","Sahel Selim"
3524,"duplex",193,2,2,2,10416212,"not finished","Beni Suef","Beni Suef El Gedida"
3525,"villa",282,2,1,2,1453620,"semi finished","Qalyubia","Khanka"
3526,"office",147,1,1,3,9682184,"luxury finished","North Sinai","Rafah"
3527,"shop",98,3,2,3,2923190,"not finished","Menofia","Tala"
3528,"office",86,3,3,2,13208907,"fully finished","Suez","Ain Sokhna"
3529,"apartment",162,3,2,1,5475747,"fully finished","Luxor","Al Bayadieh"
3530,"studio",125,3,3,1,14010069,"not finished","Aswan","Marsa Alam"
3531,"duplex",250,3,2,3,10826562,"semi finished","Sohag","Albalina"
3532,"town house",114,1,1,1,10946125,"fully finished","Fayoum","Yusuf El Sediaq"
3533,"studio",183,3,1,2,12793105,"not finished","Red Sea","Safaga"
3534,"studio",237,2,2,3,2910783,"semi finished","Dakahlia","Mitt Ghamr"
3535,"villa",80,1,2,1,5207695,"not finished","Sharkia","El Qurain"
3536,"shop",208,1,1,3,12965574,"not finished","Gharbia","Kafr El Zayat"
5197,"office",171,2,2,3,13851125,"not finished","Ismailia","Sheikh Zayed"
3537,"apartment",239,1,2,1,2252010,"fully finished","Assiut","Manfalut"
3538,"villa",177,2,1,2,13077738,"fully finished","Aswan","Marsa Alam"
3539,"office",170,3,1,2,2923133,"not finished","Kafr El Sheikh","Sidi Ghazi"
3540,"villa",277,2,1,1,14941178,"fully finished","Matrouh","Sidi Brani"
3541,"town house",181,1,2,3,8290054,"luxury finished","Qalyubia","Tukh"
3542,"shop",257,2,2,1,13417946,"fully finished","Alexandria","Sidi Kerir"
3543,"office",179,3,1,3,14509242,"not finished","Alexandria","Al Max"
3544,"office",197,2,2,2,12696512,"luxury finished","Menofia","Quesna"
3545,"town house",230,3,2,3,2581333,"semi finished","Giza","Sixth of October"
3546,"town house",100,2,1,1,8761866,"not finished","New Valley","El Kharga"
3547,"apartment",159,1,2,2,10975655,"not finished","Damietta","Zarqa"
3548,"villa",288,1,3,3,4290627,"fully finished","North Sinai","Sheikh Zowaid"
3549,"villa",129,2,1,1,10892484,"not finished","Suez","Ain Sokhna"
3550,"duplex",191,3,2,2,3596326,"luxury finished","Fayoum","Snores"
3551,"apartment",184,1,1,1,12263246,"not finished","Kafr El Sheikh","Kafr El Sheikh"
3552,"town house",178,1,3,1,8136389,"luxury finished","South Sinai","Al Toor"
3553,"studio",147,2,1,3,12748370,"not finished","Gharbia","Tanta"
3554,"studio",259,1,1,2,13824380,"semi finished","Matrouh","Marsa Matrouh"
3555,"apartment",280,3,2,1,9522305,"not finished","Red Sea","El Qusiar"
3556,"apartment",275,3,3,3,14808982,"fully finished","Beni Suef","Naser"
3557,"studio",92,2,2,2,10882726,"luxury finished","Ismailia","Qantara Gharb"
3558,"office",177,3,3,3,4180488,"fully finished","Gharbia","Kafr El Zayat"
3559,"town house",173,3,3,3,8453907,"semi finished","Menofia","Al Bagor"
3560,"studio",155,2,2,3,9148673,"luxury finished","Aswan","Drau"
3561,"shop",199,2,1,2,9577461,"not finished","Menofia","Al Bagor"
3562,"office",251,1,2,2,5613413,"luxury finished","Red Sea","Marsa Alam"
3563,"shop",93,1,1,2,8243935,"semi finished","Cairo","Mosky"
3564,"studio",172,1,2,2,1725784,"not finished","Sharkia","Hehia"
3565,"studio",126,3,2,1,2842143,"fully finished","Gharbia","Qutour"
3566,"duplex",239,2,2,3,9496090,"not finished","Beni Suef","Al Wasta"
3567,"villa",191,3,2,3,8165954,"semi finished","Suez","Faysal"
3568,"villa",265,1,3,3,4820388,"luxury finished","Port Said","Zohour"
3569,"shop",295,1,3,1,14157746,"semi finished","Suez","Faysal"
3570,"shop",167,3,1,3,13978671,"luxury finished","Aswan","Aswan"
3571,"villa",119,2,1,3,10436262,"luxury finished","Matrouh","Marsa Matrouh"
3572,"villa",133,3,2,1,10972084,"semi finished","Giza","Kerdasa"
3573,"duplex",149,3,2,3,5074716,"fully finished","New Valley","Paris"
3574,"office",90,2,3,3,1261716,"fully finished","Kafr El Sheikh","Metobas"
3575,"apartment",219,2,2,2,12082331,"fully finished","Giza","Saft Allaban"
3576,"office",238,2,2,1,5491260,"not finished","Suez","Ataqah"
3577,"office",234,2,1,2,12349140,"fully finished","Dakahlia","Bani Ubaid"
3578,"apartment",98,1,2,3,14626915,"luxury finished","Giza","ManshiyetAl Qanater"
3579,"villa",88,3,1,1,9830880,"fully finished","Beni Suef","Alabbaseri"
3580,"apartment",151,1,1,1,12080679,"fully finished","Ismailia","El Tal El Kabier"
3581,"shop",160,1,2,1,10369123,"not finished","North Sinai","Bir al-Abed"
3582,"apartment",120,1,2,1,9078062,"not finished","South Sinai","Nuweiba"
3583,"villa",111,3,2,2,3059548,"not finished","Dakahlia","Meet Salsil"
3584,"duplex",236,2,3,2,10266894,"semi finished","Beni Suef","Somasta"
3585,"villa",237,1,2,1,13801308,"fully finished","Giza","ManshiyetAl Qanater"
3586,"duplex",228,1,3,2,5022729,"fully finished","Cairo","Capital New"
3998,"villa",213,2,1,2,7580590,"fully finished","Ismailia","Abu Sawir"
3587,"studio",267,1,2,1,3068433,"luxury finished","Beheira","Edco"
3588,"town house",298,2,2,3,14381742,"semi finished","Qalyubia","Mostorod"
3589,"apartment",288,1,3,1,14051977,"luxury finished","Suez","Ain Sokhna"
3590,"villa",165,1,1,1,14703362,"not finished","Suez","Suez"
3591,"town house",287,3,3,1,7454700,"not finished","Aswan","Drau"
3592,"apartment",215,2,2,3,1014657,"luxury finished","Qalyubia","Banha"
3593,"villa",107,1,3,2,4682790,"luxury finished","Cairo","Nozha"
3594,"town house",178,3,1,2,5118230,"semi finished","Port Said","Mubarak"
3595,"duplex",152,2,2,2,3035456,"luxury finished","Ismailia","Qantara Sharq"
3596,"shop",147,3,2,1,3639882,"semi finished","Red Sea","Ras Ghareb"
3597,"studio",235,2,1,3,2425629,"not finished","Gharbia","Tanta"
3598,"duplex",90,3,1,3,8540254,"fully finished","Cairo","Rehab"
3599,"duplex",273,2,1,1,8205974,"not finished","Gharbia","Zefta"
3600,"studio",267,2,1,3,12793595,"luxury finished","Fayoum","Algamaa"
3601,"studio",101,1,2,1,11645641,"fully finished","Dakahlia","Sinbillawin"
3602,"shop",285,1,1,3,11972438,"luxury finished","Kafr El Sheikh","Kafr El Sheikh"
3603,"villa",174,1,2,2,8685349,"fully finished","Sharkia","El Qurain"
3604,"office",284,2,3,1,8971589,"fully finished","Red Sea","Halaib"
3605,"duplex",113,2,2,3,4237526,"luxury finished","Minya","Madinat El Fekria"
3606,"duplex",288,1,2,3,8629632,"fully finished","Matrouh","Marina"
3607,"shop",237,3,1,1,3281289,"luxury finished","North Sinai","Bir al-Abed"
3608,"office",102,1,3,3,4320931,"not finished","Kafr El Sheikh","Kafr El Sheikh"
3609,"office",284,2,3,1,13905934,"luxury finished","Gharbia","Al Mahalla Al Kobra"
3610,"villa",216,2,3,2,8918255,"luxury finished","Red Sea","Marsa Alam"
3611,"studio",283,2,1,2,6819448,"luxury finished","Kafr El Sheikh","Riyadh"
3612,"duplex",85,2,2,2,5934152,"luxury finished","Menofia","Sadat City"
3613,"duplex",289,2,1,1,8068553,"fully finished","Ismailia","El Tal El Kabier"
3614,"town house",113,2,3,1,2618502,"fully finished","Kafr El Sheikh","Qellen"
3615,"apartment",205,1,1,1,4295071,"fully finished","Beni Suef","Beni Suef El Gedida"
3616,"studio",122,3,1,1,13426668,"semi finished","Dakahlia","El Kurdi"
3617,"studio",238,2,2,1,8140772,"fully finished","Gharbia","Basion"
3618,"studio",100,1,3,1,10150868,"luxury finished","Sharkia","Mashtoul El Souq"
3619,"villa",200,2,2,1,14464232,"semi finished","Menofia","Ashmon"
3620,"villa",121,2,3,3,3030546,"not finished","South Sinai","Abu Redis"
3621,"duplex",152,2,3,1,3942465,"not finished","Alexandria","Bab Sharq"
3622,"apartment",198,3,3,3,13534493,"fully finished","Sohag","Tahta"
3623,"office",171,1,1,1,12788349,"luxury finished","Port Said","Alarab"
3624,"villa",288,1,2,2,9403117,"luxury finished","Beni Suef","Al Wasta"
3625,"office",85,1,2,2,9426311,"luxury finished","Qena","New Qena"
3626,"duplex",299,3,2,1,13306138,"fully finished","New Valley","Dakhla"
3627,"villa",200,2,1,3,3969238,"luxury finished","Aswan","Al-Radisiyah"
3628,"office",190,1,1,1,7812335,"luxury finished","Qena","Farshout"
3629,"shop",115,3,2,1,2982436,"semi finished","Luxor","Luxor"
3630,"office",153,3,1,3,11112118,"not finished","Kafr El Sheikh","Masief Baltim"
3631,"apartment",142,1,3,2,1012829,"semi finished","Suez","Suez"
3632,"office",194,3,2,2,11514871,"semi finished","Damietta","Ras El Bar"
3633,"villa",95,2,1,1,12181454,"luxury finished","Gharbia","El Santa"
3634,"apartment",241,1,3,3,12552340,"fully finished","Qalyubia","Al Qanater Charity"
3635,"town house",284,1,2,1,6986370,"semi finished","Suez","Alganayen"
3636,"duplex",267,3,2,3,8220064,"luxury finished","Qena","Qena"
6394,"studio",149,1,3,1,4282343,"not finished","New Valley","Balat"
3637,"apartment",182,1,2,2,9282428,"luxury finished","Giza","ManshiyetAl Qanater"
3638,"duplex",195,2,2,1,10136409,"semi finished","North Sinai","Rafah"
3639,"office",203,1,3,2,2862612,"not finished","Damietta","Faraskour"
3640,"duplex",246,1,1,2,3668312,"semi finished","Sharkia","Minya Al Qamh"
3641,"town house",115,3,1,2,3961934,"fully finished","Red Sea","Ras Ghareb"
3642,"town house",233,1,3,2,8070301,"not finished","Beni Suef","beba"
3643,"town house",117,2,3,3,8704046,"fully finished","Giza","Atfih"
3644,"duplex",130,2,1,3,1576388,"fully finished","North Sinai","Rafah"
3645,"office",243,2,2,2,5987997,"fully finished","Alexandria","Sidi Gaber"
3646,"shop",226,2,3,1,12056322,"fully finished","Qena","Qaft"
3647,"duplex",209,2,3,2,10625370,"not finished","Alexandria","Sidi Gaber"
3648,"duplex",122,3,3,2,5305240,"not finished","Luxor","Al Tud"
3649,"shop",240,2,3,3,4891838,"luxury finished","Matrouh","El Hamam"
3650,"villa",230,2,3,1,10660360,"not finished","Qena","Abu Tesht"
3651,"duplex",208,2,2,3,1516388,"not finished","Assiut","Abnoub"
3652,"town house",110,3,2,1,6010269,"fully finished","Beni Suef","Mokbel"
